name,headline,is_outdoor,price_rating,booking_required,is_cardio,intimate,time_of_day,address_postcode,area_category,area_number,address_text,description,event_type,external_link,address_longitudinal,address_latitudinal,end_column_unused
Tate Modern,Enjoy modern art and have a drink on the rooftop at the Tate Modern,2,1,1,1,1,1,SE1 9TG,Southeast,5,"Tate Modern, Bankside, London SE1 9TG","Tate Modern is perfect for a casual date enjoying modern art, and in addition to the free exhibits there are usually great paid shows on display. Visit the top floor of the Blavatnik building for a 360 London skyline view at the bar/cafe. Visitors aged 16-25 can join the Tate Collective for £5 exhibition tickets.",museum,https://www.tate.org.uk/visit/tate-modern,0,0,1
Tate Britain,Enjoy art at the Tate Britain,2,1,1,1,1,1,SW1P 4RG,Southwest,6,"Tate Britain, Millbank, Westminster, London SW1P 4RG",Not available,museum,https://www.tate.org.uk/visit/tate-britain,0,0,1
V&A Museum,Check out some art and design at the V&A museum,2,1,1,1,1,1,SW7 2RL,Southwest,6,"V&A Museum, Cromwell Road, London SW7 2RL",The Victoria & Albert museum has a collection of over 2 million objects - visit to learn about art and design and see exhibits that in the past have ranged from food to top fashion.,museum,https://www.vam.ac.uk/,0,0,1
Saatchi Gallery,Check out contemporary art at Saatchi Gallery!,2,1,1,1,1,1,SW3 4RY,Southwest,6,"Saatchi Gallery, Duke of York's HQ, King's Road, London SW3 4RY",Saatchi Gallery has interesting and diverse contemporary art that will leave you thinking. A great alternative for those not excited by the more traditional art museums.,museum,https://www.saatchigallery.com/,0,0,1
National Portrait Gallery,Take a look at some old-fashioned portraiture at the National Portrait Gallery,2,1,1,1,1,1,WC2H 0HE,Central - West,2,"St. Martin's Pl, Charing Cross, London WC2H 0HE",Not available,museum,https://www.npg.org.uk/,0,0,1
Natural History Museum,Visit the Natural History Museum,2,1,1,1,1,1,SW7 5BD,Southwest,6,"Cromwell Rd, South Kensington, London SW7 5BD",Not available,museum,https://www.nhm.ac.uk/,0,0,1
Science Museum,Learn something exciting at the Science Museum,2,1,1,1,1,1,SW7 2DD,Southwest,6,"Exhibition Rd, South Kensington, London SW7 2DD",Not available,museum,http://www.sciencemuseum.org.uk,0,0,1
Tate Modern Late's,"Check out Tate Modern's after-hours, with music and drinks",2,1,1,1,2,2,SE1 9TG,Southeast,5,"Bankside, London SE1 9TG",Not available,museum,https://www.tate.org.uk/whats-on,0,0,1
Christie's Late's,"Enjoy speakers, free food tastings, and art at Christie's Auction House",2,1,1,1,2,2,SW1Y 6QT,Southwest,6,"Christie's London, 8 King St, St. Jame's, London SW1Y 6QT","On the first Monday of every month Christie's puts on a themed evening of speakers from across the art world, food tastings, and art displays. Drinks are cheap and the people watching opportunities are top.",museum,https://www.christies.com/exhibitions/christies-lates-global,0,0,1
Natural History Museum Late's,Check out the Natural History Museum's after hours,2,1,1,1,2,2,SW7 5BD,Southwest,6,"Cromwell Rd, South Kensington, London SW7 5BD",Not available,museum,https://www.nhm.ac.uk/,0,0,1
Tate Britain Late's,Check out the Tate Britain after-hours,2,1,1,1,2,2,SW1P 4RG,Southwest,6,"Tate Britain, Millbank, Westminster, London SW1P 4RG",Not available,museum,https://www.tate.org.uk/visit/tate-britain,0,0,1
National Portrait Gallery Late's,"Sit in on a free portrait drawing class, sip wine and dance to some beats at the National Portrait Gallery's Late's",2,1,1,1,2,2,WC2H 0HE,Central - West,2,"St. Martin's Pl, Charing Cross, London WC2H 0HE",Not available,museum,https://www.npg.org.uk/whatson/fridaylates,0,0,1
SoFar Sounds,Listen to live music in secret locations at SoFar Sounds,2,2,1,1,2,2,E1 6PJ,East,3,ANY,"SoFar Sounds hosts private concerts at homes, companies and small event venues in London. The performances are intimate and diverse, and the selected performers might range in genre from hip-hop to classical. Bring a bottle (or two) of wine, a spare blanket and discover your next favourite artist.",music,https://www.sofarsounds.com/,0,0,1
Hampstead Heath,"Explore Hamstead Pergola, Kenwood house, and take a swim at Hampstead Heath",1,1,1,2,1,1,NW5 1QR,Northwest,8,"Hampstead Heath, Hampstead, London NW5 1QR","Fly your kite on Parliament Hill, take a swim at the Swimming Ponds, or have a picnic in this gorgeous North London park. The stately Kenwood House was feature in Notting Hill, and the Hampstead Pergola is a particularly romantic spot. Autumn is particularly great for enjoying the foliage here.",outdoor,https://www.cityoflondon.gov.uk/things-to-do/green-spaces/hampstead-heath/Pages/default.aspx,0,0,1
St.James Park,Stroll through St.James Park to bird-watch and relax,1,1,1,2,1,1,SW1A 2BJ,Southwest,6,London SW1A 2BJ,Not available,outdoor,https://www.royalparks.org.uk/parks/st-jamess-park,0,0,1
Richmond Park,Meet some wild deer and have a picnic at Richmond Park,1,1,1,2,1,1,TW10 5HX,Southwest,6,"Richmond Park, Richmond TW10 5HX",,outdoor,https://www.royalparks.org.uk/parks/richmond-park,0,0,1
Regent's Park,"Enjoy the rose garden and fountains, and have a picnic at Regent's Park ",1,1,1,2,1,1,NW1 4NR,Northwest,8,"Chester Rd, London NW1 4NR",Not available,outdoor,https://www.royalparks.org.uk/parks/the-regents-park,0,0,1
Kew Gardens,"Check out the high line Treetop Walkway, tropical Palmhouse and lots of gardens at Kew Gardens",1,1,1,2,1,1,TW9 3AB,Southwest,6,Richmond TW9 3AB,Not available,outdoor,https://www.kew.org/,0,0,1
Holland Park,Visit the Japanese Kyoto Garden and have a picnic at Holland Park,1,1,1,2,1,1,W8 6LU,West,4,"Holland Park, Ilchester Place, London W8 6LU","Holland Park is the perfect location for a picnic and a stroll on a sunny day. The Kyoto Garden, with colorful koi fish and flora, was built by an eminent Japanese designer is a must-see.",outdoor,https://www.rbkc.gov.uk/leisure-and-culture/parks/holland-park,0,0,1
Swingers - The City,Play Mini Golf at Swingers,2,2,1,2,1,3,EC3A 8AL,Central - East,1,"8 Brown's Buildings, London EC3A 8AL",Not available,activity,https://swingersldn.com/home/city/,0,0,1
Stratford - Roof East,Play Mini Golf and Curling on a Carpark Rooftop in Stratford,1,2,1,2,2,3,E15 1BB,East,3,"7 & 8 Stratford Multi Storey Car Park, Great Eastern Rd, London E15 1BB",Not available,activity,http://www.roofeast.com/,0,0,1
Junkyard Golf Club,Play Mini Golf at Junkyard Golf Club,2,2,1,2,2,3,E1 6QL,East,3,"Old Truman Brewery, 91 Brick Ln, Spitalfields, London E1 6QL",Not available,activity,https://www.junkyardgolfclub.co.uk/london/,0,0,1
Flightclub Shoreditch,Play Darts at Flightclub Shoreditch,2,2,1,1,2,3,EC2A 2AH,Central - East,1,"2A Worship St, Finsbury, London EC2A 2AH",Not available,activity,https://flightclubdarts.com/london/location-shoreditch,0,0,1
Flightclub Islington,Play Darts at Flightclub Islington,2,2,1,1,2,3,N1 0NY,North,7,"56 Upper St, Islington, London N1 0NY",Not available,activity,https://flightclubdarts.com/london/location-islington,0,0,1
Flightclub Bloomsbury,Play Darts at Flightclub Bloomsbury,2,2,1,1,2,3,WC1A 1BS,Central - West,2,"55 New Oxford St, London WC1A 1BS",Not available,activity,https://flightclubdarts.com/london/location-bloomsbury,0,0,1
Flightclub Victoria,Play Darts at Flightclub Victoria,2,2,1,1,2,3,SW1E 5DJ,Southwest,6,"6 Sir Simon Milton Square, Westminster, London SW1E 5DJ",Not available,activity,https://flightclubdarts.com/london/location-victoria,0,0,1
DNA VR Virtual Reality Arcade,Play virtual reality games and escape rooms at DNA VR,2,3,1,2,2,3,N7 9LR,North,7,"Units 1&2, York House, Basement, 400-404 York Way, London N7 9LR",Not available,activity,https://www.dnavr.co.uk/,0,0,1
Archimedes Inspiration Escape Rooms,Try a 5-star escape room at Archimedes Inspiration Escape Rooms,2,3,1,2,1,3,SE16 4DG,Southeast,5,"Biscuit Factory, Unit K002, Kala Studios The, 100 Drummond Rd, London SE16 4DG",Not available,activity,https://www.aiescape.com/,0,0,1
HintHunt,Try an escape room at HintHunt,2,3,1,2,1,3,NW1 1BY,Northwest,8,"72-76 Eversholt St, London NW1 1BY",Not available,activity,https://hinthunt.co.uk/,0,0,1
Omescape - Islington,Try a virtual reality escape room at Omescape,2,3,1,2,1,3,N1 9QW,North,7,"All Saints Church, Carnegie St, Islington, London N1 9QW",Not available,activity,https://omescapelondon.co.uk/,0,0,1
clueQuest,Try an escape room at clueQuest,2,3,1,2,1,3,N1 0SL,North,7,"169-171 Caledonian Rd, Islington, London N1 0SL",Not available,activity,https://cluequest.co.uk/,0,0,1
Enigma Escape,Try an escape room at Enigma Escape,2,3,1,2,1,3,N7 8EL,North,7,"Unit 38, 10 Hornsey St, London N7 8EL",Not available,activity,https://enigmaescape.co.uk/,0,0,1
