name,is_outdoor,price_rating,booking_required,intimate,time_of_day,headline,address_text,address_postcode,area_category,area_numeric,meal_type,description_html,external_link,address_longitudinal,address_latitudinal,end_column_unused
Beigel Bake,1,2,1,1,1,Enjoy a traditional salt beef bagel at Beigel Bake,"Beigel Bake, 159 Brick Ln, Shoreditch, London E1 6SB",E1 6SB,East,3,other,"Beigel Bake is a cornerstone of the Brick Lane neighbourhood, selling takeaway bagels 24 hours a day and known for having a queue down the block. They are famous for their bagels, baked in the traditional Jewish style, served with hot salf beef and mustard Their other options include sweet pastries and alternative savory bagels (but we're telling you, get the salt beef). Not a surprise that Beigel Bake produces 7,000 beigels every day.",https://twitter.com/beigelbake?lang=en,0,0,1
The Escapologist,1,2,1,1,2,Get delicious creative cocktails and all-star happy hour deals at the Escapologist,"The Escapologist, 35 Earlham Street, Covent Garden, London WC2H 9LD",WC2H 9LD,Central - West,2,bar,"The Escapologist is a quirky underground bar with ""unique"" art and a buzzing atmosphere. Their happy hour is not to be missed, where you can score 2 for 1 cocktails, that promise to be embellished with some form of candy, colors or other unique twist. High recommendation for their Espresso Martini.",http://www.escapologistbar.co.uk/,0,0,
Gordon's Wine Bar,1,2,1,1,3,"Grab a bottle of wine in the candlelight, in the vaulted cellars of Gordon's Wine Bar","Gordon's Wine Bar, 47 Villiers St, Charing Cross, London WC2N 6NE,",WC2N 6NE,Central - West,2,bar,"Gordon's Wine Bar is perfect for a cosy and romantic glass of wine - it was built in a 19th century vaulted cellar and is lit with candles. Is is also quite popular, so at prime times you may need to be crafty to grab a table in the underground rooms - not suprising for London's oldest wine bar. The wine list is international and top notch and has options to suit all price ranges.",https://gordonswinebar.com/,0,0,1
Iris Bar at the Gherkin,1,3,1,1,2,Enjoy the best 360 London views in London and have a cocktail at Iris bar in the Gherkin,"Iris Bar at the Gherkin, 30 St Mary Axe, London EC3A 8EP",EC3A 8EP,Central - East,1,bar,Impress your date with what are arguably the best skyline views in London at this gorgeous 360 rooftop bar. The rooftop is covered so you'll be safe from the elements (no promises about the safety of your wallet). This one must be booked ahead and is the perfect spot for an romantic date or a special occasion. Don't forget to bring ID to get past build security.,https://searcysatthegherkin.co.uk/iris-bar/,0,0,1
The Alchemist,1,3,1,1,2,Try a colour-changing cocktail at the Alchemist,"The Alchemist, 63-66 St Martins Lane, London WC2N 4JS",WC2N 4JS,Central - West,2,bar,"The Alchemist is a hip and cosy bar with top-notch cocktails. Expect colour-changing, taste-changing, smoke-emitting, fire-blazing cocktails, that are sure to impress.",https://thealchemist.uk.com/,0,0,1
Kanada-Ya - Covent Garden,1,2,1,1,3,Try truffle ramen or a flavourful tonkotsu at Kanada-Ya,"Kanada-Ya, Covent Garden, 64 St Giles High Street, London WC2H 8LE",WC2H 8LE,Central - West,2,restaurant,"There are a number of ramen options in London, but few can deliver bowls of noodles that are as outstanding as Kanada-Ya. Try their Tonkotsu with soft chashu pork belly and crunchy wood ear mushroom. For something for unique, their Truffle ramen is to die for - pork bone broth with infusions of truffle paste and white truffle oil.",https://www.kanada-ya.com,0,0,1
Monohon,1,2,1,1,3,Try delicious (Londoner-crafted) ramen and soba at Monohon,"Monohon, 102 Old Street, London EC1V 9AY",EC1V 9AY,Central - East,1,restaurant,"Founded by an ex-corporate Londoner who decided to move to Japan to learn how to make ramen, Monohon delivers some of the best bowls of noodles in London. This cosy outpost offers ramen and soba at reasonable prices and of top quality.",http://monohonramen.com/,0,0,1
Menya Ramen,1,2,1,1,3,Have an authentic bowl of ramen at Menya,"Menya Ramen, 29 Museum St, Holborn, London WC1A 1LH",WC1A 1LH,Central - West,2,restaurant,"Hidden away on a side-street, Menya is a casual spot to grab a bowl of delicious and authentic Japanese ramen. Their menu is short and to the point. Ideal spot for a first date or a stop on the way to another destination.",NONE,0,0,1
Padella,1,2,1,1,3,Order delicious pasta dishes at Padella,"Padella, 6 Southwark St, London SE1 1TQ",SE1 1TQ,Southeast,5,restaurant,"The acclaim Padella has received is well-deserved - this cosy spot offers incredible pastas to share at very reasonable prices. We recommend at least three pasta dishes per couple. While their menu is ever-rotating, the ""Pappardelle with 8 hours Dexter beef shin ragu"" and the ""Pici cacio & pepe"" are ever popular. There will likely be a wait, so write your name down on arrival and go for a drink around the many bars surrounding nearby Borough Market while you wait for your table.",https://www.padella.co/,0,0,1
Duck & Waffle - Restaurant,1,3,1,1,3,"Enjoy a waffle in a stylish venue overlooking 360 views of London, at Duck & Waffle","Duck & Waffle, 110 Bishopsgate, London EC2N 4AY",EC2N 4AY,Central - East,1,restaurant,"Duck & Waffle, with its modern decor and 360 London skyscraper views, is probably most famous for serving waffles 24 hours a day. During themore reasonable hours you can book a table and try their signature duck leg and waffle dish, and try their unique and delicious small plates. The setting is perfect for a stylish and romantic meal. Pro tip: the glass elevator to the 38th floor will give you a rush as you look out over the city.",https://duckandwaffle.com/,0,0,1
